"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","initial-clouds*","CO2-amount*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","2.6","0.8","2","75","""-316479731""","19.953562832827537","19.953562832827537","19.953562832827537","0","19.953562832827537"
"1","2","500","2.6","0.8","2","75","""1367636569""","19.464993024728884","19.464993024728884","19.464993024728884","0","19.464993024728884"
"1","3","500","2.6","0.8","2","75","""703784915""","19.122765752148783","19.122765752148783","19.122765752148783","0","19.122765752148783"
"1","4","500","2.6","0.8","2","75","""161425563""","18.628601431354955","18.628601431354955","18.628601431354955","0","18.628601431354955"
"1","5","500","2.6","0.8","2","75","""-1986163544""","20.16012052676091","20.16012052676091","20.16012052676091","0","20.16012052676091"
"1","6","500","2.6","0.8","2","75","""-1346352764""","19.137561636580294","19.137561636580294","19.137561636580294","0","19.137561636580294"
"1","7","500","2.6","0.8","2","75","""871027206""","21.317817670448868","21.317817670448868","21.317817670448868","0","21.317817670448868"
"1","8","500","2.6","0.8","2","75","""1954307280""","19.91444080995644","19.91444080995644","19.91444080995644","0","19.91444080995644"
"1","9","500","2.6","0.8","2","75","""-1333666375""","17.595667569950137","17.595667569950137","17.595667569950137","0","17.595667569950137"
"1","10","500","2.6","0.8","2","75","""-1167209982""","19.52324547865468","19.52324547865468","19.52324547865468","0","19.52324547865468"
"1","11","500","0.6000000000000001","0.8500000000000001","5","150","""1741339834""","12.8759986744674","12.8759986744674","12.8759986744674","0","12.8759986744674"
"1","12","500","0.6000000000000001","0.8500000000000001","5","150","""1517245656""","13.6145060831021","13.6145060831021","13.6145060831021","0","13.6145060831021"
"1","13","500","0.6000000000000001","0.8500000000000001","5","150","""-281644201""","13.504662585032111","13.504662585032111","13.504662585032111","0","13.504662585032111"
"1","14","500","0.6000000000000001","0.8500000000000001","5","150","""-493015663""","12.95880160375468","12.95880160375468","12.95880160375468","0","12.95880160375468"
"1","15","500","0.6000000000000001","0.8500000000000001","5","150","""-1100407767""","12.847112810968918","12.847112810968918","12.847112810968918","0","12.847112810968918"
"1","16","500","0.6000000000000001","0.8500000000000001","5","150","""704762921""","13.354692611983973","13.354692611983973","13.354692611983973","0","13.354692611983973"
"1","17","500","0.6000000000000001","0.8500000000000001","5","150","""-1162517702""","13.116115573499748","13.116115573499748","13.116115573499748","0","13.116115573499748"
"1","18","500","0.6000000000000001","0.8500000000000001","5","150","""-27388983""","13.071400071491404","13.071400071491404","13.071400071491404","0","13.071400071491404"
"1","19","500","0.6000000000000001","0.8500000000000001","5","150","""-259642278""","13.64737230805483","13.64737230805483","13.64737230805483","0","13.64737230805483"
"1","20","500","0.6000000000000001","0.8500000000000001","5","150","""255565617""","12.7943371463415","12.7943371463415","12.7943371463415","0","12.7943371463415"
"1","21","500","4.2","0.55","2","0","""19582798""","32.21254702393012","32.21254702393012","32.21254702393012","0","32.21254702393012"
"1","22","500","4.2","0.55","2","0","""922720808""","34.030233203223894","34.030233203223894","34.030233203223894","0","34.030233203223894"
"1","23","500","4.2","0.55","2","0","""-1771121337""","30.666745014971614","30.666745014971614","30.666745014971614","0","30.666745014971614"
"1","24","500","4.2","0.55","2","0","""887398536""","33.784112002651476","33.784112002651476","33.784112002651476","0","33.784112002651476"
"1","25","500","4.2","0.55","2","0","""1498923064""","33.911214149964025","33.911214149964025","33.911214149964025","0","33.911214149964025"
"1","26","500","4.2","0.55","2","0","""905607471""","31.969015072666096","31.969015072666096","31.969015072666096","0","31.969015072666096"
"1","27","500","4.2","0.55","2","0","""528726217""","29.503537975521866","29.503537975521866","29.503537975521866","0","29.503537975521866"
"1","28","500","4.2","0.55","2","0","""-721735094""","28.69360846360244","28.69360846360244","28.69360846360244","0","28.69360846360244"
"1","29","500","4.2","0.55","2","0","""1062188804""","31.124914692802136","31.124914692802136","31.124914692802136","0","31.124914692802136"
"1","30","500","4.2","0.55","2","0","""1362131235""","29.28664334018391","29.28664334018391","29.28664334018391","0","29.28664334018391"
"1","31","500","0.2","0.05","2","250","""-2005675084""","13.926293017358834","13.926293017358834","13.926293017358834","0","13.926293017358834"
"1","32","500","0.2","0.05","2","250","""-1144657904""","13.843870546579321","13.843870546579321","13.843870546579321","0","13.843870546579321"
"1","33","500","0.2","0.05","2","250","""-1442817652""","13.650269970117161","13.650269970117161","13.650269970117161","0","13.650269970117161"
"1","34","500","0.2","0.05","2","250","""92485157""","14.711685801720265","14.711685801720265","14.711685801720265","0","14.711685801720265"
"1","35","500","0.2","0.05","2","250","""-1159930747""","14.089166535981025","14.089166535981025","14.089166535981025","0","14.089166535981025"
"1","36","500","0.2","0.05","2","250","""1404178096""","13.663837316559977","13.663837316559977","13.663837316559977","0","13.663837316559977"
"1","37","500","0.2","0.05","2","250","""-1838086300""","14.237468270803436","14.237468270803436","14.237468270803436","0","14.237468270803436"
"1","38","500","0.2","0.05","2","250","""-1468743301""","13.798174822121224","13.798174822121224","13.798174822121224","0","13.798174822121224"
"1","39","500","0.2","0.05","2","250","""603955102""","14.320170029389251","14.320170029389251","14.320170029389251","0","14.320170029389251"
"1","40","500","0.2","0.05","2","250","""34928902""","14.021501714127343","14.021501714127343","14.021501714127343","0","14.021501714127343"
"1","41","500","2.8000000000000003","0.4","3","25","""-1197657568""","28.70687016784141","28.70687016784141","28.70687016784141","0","28.70687016784141"
"1","42","500","2.8000000000000003","0.4","3","25","""1783553411""","28.721105854022607","28.721105854022607","28.721105854022607","0","28.721105854022607"
"1","43","500","2.8000000000000003","0.4","3","25","""-1306076651""","26.787581036300274","26.787581036300274","26.787581036300274","0","26.787581036300274"
"1","44","500","2.8000000000000003","0.4","3","25","""-483504783""","31.469947284537042","31.469947284537042","31.469947284537042","0","31.469947284537042"
"1","45","500","2.8000000000000003","0.4","3","25","""-944739913""","26.815077960648168","26.815077960648168","26.815077960648168","0","26.815077960648168"
"1","46","500","2.8000000000000003","0.4","3","25","""1260916343""","28.076572869733283","28.076572869733283","28.076572869733283","0","28.076572869733283"
"1","47","500","2.8000000000000003","0.4","3","25","""-1160508298""","27.59185878634458","27.59185878634458","27.59185878634458","0","27.59185878634458"
"1","48","500","2.8000000000000003","0.4","3","25","""-897228298""","28.96206543203923","28.96206543203923","28.96206543203923","0","28.96206543203923"
"1","49","500","2.8000000000000003","0.4","3","25","""-273295416""","26.74299315790836","26.74299315790836","26.74299315790836","0","26.74299315790836"
"1","50","500","2.8000000000000003","0.4","3","25","""-414495606""","29.449091038953867","29.449091038953867","29.449091038953867","0","29.449091038953867"
"1","51","500","4.4","0.8","2","225","""-396945547""","25.29995698518816","25.29995698518816","25.29995698518816","0","25.29995698518816"
"1","52","500","4.4","0.8","2","225","""1834790749""","20.613238944904843","20.613238944904843","20.613238944904843","0","20.613238944904843"
"1","53","500","4.4","0.8","2","225","""988839024""","26.083720861889688","26.083720861889688","26.083720861889688","0","26.083720861889688"
"1","54","500","4.4","0.8","2","225","""372298580""","23.78449506555498","23.78449506555498","23.78449506555498","0","23.78449506555498"
"1","55","500","4.4","0.8","2","225","""1926942838""","24.09137910392991","24.09137910392991","24.09137910392991","0","24.09137910392991"
"1","56","500","4.4","0.8","2","225","""1455060318""","21.933313494789385","21.933313494789385","21.933313494789385","0","21.933313494789385"
"1","57","500","4.4","0.8","2","225","""642853589""","23.363599620283484","23.363599620283484","23.363599620283484","0","23.363599620283484"
"1","58","500","4.4","0.8","2","225","""1897654754""","24.58546892653529","24.58546892653529","24.58546892653529","0","24.58546892653529"
"1","59","500","4.4","0.8","2","225","""-1521218220""","25.20545311569165","25.20545311569165","25.20545311569165","0","25.20545311569165"
"1","60","500","4.4","0.8","2","225","""194602464""","24.73289059692334","24.73289059692334","24.73289059692334","0","24.73289059692334"
"1","61","500","0.6000000000000001","0.30000000000000004","9","100","""-2058273851""","15.231624178466914","15.231624178466914","15.231624178466914","0","15.231624178466914"
"1","62","500","0.6000000000000001","0.30000000000000004","9","100","""-883667312""","15.177591058260882","15.177591058260882","15.177591058260882","0","15.177591058260882"
"1","63","500","0.6000000000000001","0.30000000000000004","9","100","""2118605132""","15.101904875915883","15.101904875915883","15.101904875915883","0","15.101904875915883"
"1","64","500","0.6000000000000001","0.30000000000000004","9","100","""-1451321563""","14.738846546750322","14.738846546750322","14.738846546750322","0","14.738846546750322"
"1","65","500","0.6000000000000001","0.30000000000000004","9","100","""1403912410""","13.849522191573714","13.849522191573714","13.849522191573714","0","13.849522191573714"
"1","66","500","0.6000000000000001","0.30000000000000004","9","100","""-1451196909""","14.070089562855639","14.070089562855639","14.070089562855639","0","14.070089562855639"
"1","67","500","0.6000000000000001","0.30000000000000004","9","100","""130716394""","14.439338153954242","14.439338153954242","14.439338153954242","0","14.439338153954242"
"1","68","500","0.6000000000000001","0.30000000000000004","9","100","""-1230694763""","16.50373002187065","16.50373002187065","16.50373002187065","0","16.50373002187065"
"1","69","500","0.6000000000000001","0.30000000000000004","9","100","""283410215""","14.044922350744478","14.044922350744478","14.044922350744478","0","14.044922350744478"
"1","70","500","0.6000000000000001","0.30000000000000004","9","100","""1340695279""","14.582906710297065","14.582906710297065","14.582906710297065","0","14.582906710297065"
"1","71","500","2.8000000000000003","0.65","4","50","""1590250972""","23.402887651224027","23.402887651224027","23.402887651224027","0","23.402887651224027"
"1","72","500","2.8000000000000003","0.65","4","50","""1392260469""","24.140056884772225","24.140056884772225","24.140056884772225","0","24.140056884772225"
"1","73","500","2.8000000000000003","0.65","4","50","""1039340175""","24.731813227791196","24.731813227791196","24.731813227791196","0","24.731813227791196"
"1","74","500","2.8000000000000003","0.65","4","50","""971761703""","24.517284904254012","24.517284904254012","24.517284904254012","0","24.517284904254012"
"1","75","500","2.8000000000000003","0.65","4","50","""-1354476704""","24.156220734947755","24.156220734947755","24.156220734947755","0","24.156220734947755"
"1","76","500","2.8000000000000003","0.65","4","50","""1478607612""","20.785001488290085","20.785001488290085","20.785001488290085","0","20.785001488290085"
"1","77","500","2.8000000000000003","0.65","4","50","""1005367115""","21.68595625437467","21.68595625437467","21.68595625437467","0","21.68595625437467"
"1","78","500","2.8000000000000003","0.65","4","50","""1152995101""","22.17703813925873","22.17703813925873","22.17703813925873","0","22.17703813925873"
"1","79","500","2.8000000000000003","0.65","4","50","""552363139""","23.6773910275376","23.6773910275376","23.6773910275376","0","23.6773910275376"
"1","80","500","2.8000000000000003","0.65","4","50","""1283490176""","22.6558721639261","22.6558721639261","22.6558721639261","0","22.6558721639261"
"1","81","500","4.6000000000000005","0.9500000000000001","9","150","""2029151031""","14.955174921375242","14.955174921375242","14.955174921375242","0","14.955174921375242"
"1","82","500","4.6000000000000005","0.9500000000000001","9","150","""147838341""","14.682636697152429","14.682636697152429","14.682636697152429","0","14.682636697152429"
"1","83","500","4.6000000000000005","0.9500000000000001","9","150","""-1151522355""","14.154023556465212","14.154023556465212","14.154023556465212","0","14.154023556465212"
"1","84","500","4.6000000000000005","0.9500000000000001","9","150","""-43949762""","14.601476256841567","14.601476256841567","14.601476256841567","0","14.601476256841567"
"1","85","500","4.6000000000000005","0.9500000000000001","9","150","""-730975042""","13.860272134152982","13.860272134152982","13.860272134152982","0","13.860272134152982"
"1","86","500","4.6000000000000005","0.9500000000000001","9","150","""505305025""","15.328270856583329","15.328270856583329","15.328270856583329","0","15.328270856583329"
"1","87","500","4.6000000000000005","0.9500000000000001","9","150","""959386503""","13.935285937872768","13.935285937872768","13.935285937872768","0","13.935285937872768"
"1","88","500","4.6000000000000005","0.9500000000000001","9","150","""-373324535""","14.366039482049437","14.366039482049437","14.366039482049437","0","14.366039482049437"
"1","89","500","4.6000000000000005","0.9500000000000001","9","150","""1825448189""","14.528177809074151","14.528177809074151","14.528177809074151","0","14.528177809074151"
"1","90","500","4.6000000000000005","0.9500000000000001","9","150","""1556485097""","13.485166848361995","13.485166848361995","13.485166848361995","0","13.485166848361995"
"1","91","500","5","0.55","9","0","""222566433""","26.0232079904436","26.0232079904436","26.0232079904436","0","26.0232079904436"
"1","92","500","5","0.55","9","0","""-1877859690""","29.56225216397899","29.56225216397899","29.56225216397899","0","29.56225216397899"
"1","93","500","5","0.55","9","0","""-1296884998""","25.75397233211995","25.75397233211995","25.75397233211995","0","25.75397233211995"
"1","94","500","5","0.55","9","0","""-935960241""","29.92438799659471","29.92438799659471","29.92438799659471","0","29.92438799659471"
"1","95","500","5","0.55","9","0","""-1325907074""","34.27589374140266","34.27589374140266","34.27589374140266","0","34.27589374140266"
